model_type,selected_debate_id,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index
consensus,3,0.9,0.2,0.2,0.1,6363096185690847200.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.2,0.1,2211715377675706370.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,4,0.3,0.2,0.2,0.2,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.2,0.2,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,1,0.9,0.8,0.0,0.3,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.8,0.0,0.3,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,2,0.9,0.2,0.0,0.2,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.0,0.2,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,5,0.1,0.8,0.5,0.3,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.5,0.3,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,4,0.3,0.8,0.2,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.2,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,2,0.9,0.4,0.5,0.3,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.5,0.3,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,7,0.5,0.8,0.0,0.3,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.8,0.0,0.3,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.1,0.8,0.5,0.3,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.1,0.8,0.5,0.3,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.3,0.6,0.2,0.2,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.3,0.6,0.2,0.2,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.3,0.8,0.2,0.1,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.3,0.8,0.2,0.1,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,4,0.9,0.4,0.0,0.2,6363096185690847200.0,15,0.2540740740753389,0.00000000000000499,0.00000000000000383
consensus,4,0.9,0.4,0.0,0.2,2211715377675706370.0,15,0.2540740740753389,0.00000000000000499,0.00000000000000383
consensus,6,0.3,0.4,0.0,0.3,2211715377675706370.0,20,0.317493723716986,0.0000001100155605,0.00000006858500811
consensus,6,0.3,0.4,0.0,0.3,6363096185690847200.0,20,0.317493723716986,0.0000001100155605,0.00000006858500811
consensus,7,0.1,0.8,0.2,0.2,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.1,0.8,0.2,0.2,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,9,0.5,0.6,0.0,0.1,6363096185690847200.0,15,0.22220854575110874,0.00000016138235413,0.00000011350797349
consensus,9,0.5,0.6,0.0,0.1,2211715377675706370.0,15,0.22220854575110874,0.00000016138235413,0.00000011350797349
consensus,1,0.3,0.8,0.0,0.2,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.3,0.8,0.0,0.2,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,8,0.1,0.8,0.8,0.3,2211715377675706370.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,8,0.1,0.8,0.8,0.3,6363096185690847200.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,7,0.9,0.6,0.2,0.1,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.9,0.6,0.2,0.1,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,5,0.9,0.8,0.8,0.2,2211715377675706370.0,15,0.3559259259203437,0.00000000000000693,0.00000000000000528
consensus,5,0.9,0.8,0.8,0.2,6363096185690847200.0,15,0.3559259259203437,0.00000000000000693,0.00000000000000528
consensus,3,0.1,0.2,0.5,0.2,6363096185690847200.0,35,0.2161027689446593,0.00021107259737225,0.00019534794693652
consensus,3,0.1,0.2,0.5,0.2,2211715377675706370.0,35,0.2161027689446593,0.00021107259737225,0.00019534794693652
consensus,7,0.5,0.6,0.5,0.2,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.6,0.5,0.2,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,8,0.5,0.4,0.5,0.2,6363096185690847200.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,8,0.5,0.4,0.5,0.2,2211715377675706370.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,4,0.7,0.6,0.2,0.2,2211715377675706370.0,15,0.24117645355609504,0.00000000029895135,0.00000000031978986
consensus,4,0.7,0.6,0.2,0.2,6363096185690847200.0,15,0.24117645355609504,0.00000000029895135,0.00000000031978986
consensus,8,0.3,0.2,0.8,0.2,2211715377675706370.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,8,0.3,0.2,0.8,0.2,6363096185690847200.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,2,0.9,0.2,0.2,0.1,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.2,0.1,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,4,0.9,0.2,0.2,0.1,2211715377675706370.0,15,0.2540740740753389,0.00000000000000499,0.00000000000000383
consensus,4,0.9,0.2,0.2,0.1,6363096185690847200.0,15,0.2540740740753389,0.00000000000000499,0.00000000000000383
consensus,3,0.7,0.2,0.2,0.1,6363096185690847200.0,15,0.22222221220260086,0.00000000006572396,0.00000000004214022
consensus,3,0.7,0.2,0.2,0.1,2211715377675706370.0,15,0.22222221220260086,0.00000000006572396,0.00000000004214022
consensus,3,0.9,0.4,0.2,0.1,6363096185690847200.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.4,0.2,0.1,2211715377675706370.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.0,0.1,2211715377675706370.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.0,0.1,6363096185690847200.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.5,0.1,2211715377675706370.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.5,0.1,6363096185690847200.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.2,0.2,6363096185690847200.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.2,0.2,2211715377675706370.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.3,0.2,0.2,0.2,2211715377675706370.0,15,0.22038318532840337,0.0001098045127077,0.00009195595331586
consensus,3,0.3,0.2,0.2,0.2,6363096185690847200.0,15,0.22038318532840337,0.0001098045127077,0.00009195595331586
consensus,5,0.3,0.2,0.2,0.2,2211715377675706370.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,5,0.3,0.2,0.2,0.2,6363096185690847200.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,4,0.1,0.2,0.2,0.2,6363096185690847200.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,4,0.1,0.2,0.2,0.2,2211715377675706370.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,4,0.5,0.2,0.2,0.2,6363096185690847200.0,15,0.23097687576573545,0.00000038211744049,0.00000023688255245
consensus,4,0.5,0.2,0.2,0.2,2211715377675706370.0,15,0.23097687576573545,0.00000038211744049,0.00000023688255245
consensus,4,0.3,0.4,0.2,0.2,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.4,0.2,0.2,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.0,0.2,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.0,0.2,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.5,0.2,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.5,0.2,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.2,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.2,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.2,0.3,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.2,0.2,0.3,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,2,0.9,0.8,0.0,0.3,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.8,0.0,0.3,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,1,0.7,0.8,0.0,0.3,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.7,0.8,0.0,0.3,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.6,0.0,0.3,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.6,0.0,0.3,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.8,0.2,0.3,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.8,0.2,0.3,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.8,0.0,0.2,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.8,0.0,0.2,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.2,0.0,0.2,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.2,0.0,0.2,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,3,0.9,0.2,0.0,0.2,2211715377675706370.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.2,0.0,0.2,6363096185690847200.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,2,0.7,0.2,0.0,0.2,6363096185690847200.0,15,0.34488015038819997,0.00000000007281823,0.0000000000533292
consensus,2,0.7,0.2,0.0,0.2,2211715377675706370.0,15,0.34488015038819997,0.00000000007281823,0.0000000000533292
consensus,2,0.9,0.4,0.0,0.2,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.0,0.2,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.2,0.2,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.2,0.2,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.0,0.1,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.0,0.1,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.0,0.3,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.0,0.3,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,4,0.1,0.8,0.5,0.3,2211715377675706370.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,4,0.1,0.8,0.5,0.3,6363096185690847200.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,6,0.1,0.8,0.5,0.3,2211715377675706370.0,40,0.31848567124797117,0.00002547984242945,0.00001461537534266
consensus,6,0.1,0.8,0.5,0.3,6363096185690847200.0,40,0.31848567124797117,0.00002547984242945,0.00001461537534266
consensus,5,0.3,0.8,0.5,0.3,6363096185690847200.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,5,0.3,0.8,0.5,0.3,2211715377675706370.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,5,0.1,0.6,0.5,0.3,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.6,0.5,0.3,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.2,0.3,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.2,0.3,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.8,0.3,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.8,0.3,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.5,0.2,6363096185690847200.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,5,0.1,0.8,0.5,0.2,2211715377675706370.0,40,0.3396498521216573,0.00002981528980335,0.00001973041475927
consensus,3,0.3,0.8,0.2,0.1,2211715377675706370.0,15,0.22038318532840337,0.0001098045127077,0.00009195595331586
consensus,3,0.3,0.8,0.2,0.1,6363096185690847200.0,15,0.22038318532840337,0.0001098045127077,0.00009195595331586
consensus,5,0.3,0.8,0.2,0.1,6363096185690847200.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,5,0.3,0.8,0.2,0.1,2211715377675706370.0,20,0.3455397456562647,0.00000012819187777,0.00000007321913929
consensus,4,0.1,0.8,0.2,0.1,6363096185690847200.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,4,0.1,0.8,0.2,0.1,2211715377675706370.0,45,0.22720837153037574,0.00002722005961762,0.00002361108954792
consensus,4,0.5,0.8,0.2,0.1,2211715377675706370.0,15,0.23097687576573545,0.00000038211744049,0.00000023688255245
consensus,4,0.5,0.8,0.2,0.1,6363096185690847200.0,15,0.23097687576573545,0.00000038211744049,0.00000023688255245
consensus,4,0.3,0.6,0.2,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.6,0.2,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.0,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.0,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.5,0.1,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.5,0.1,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.2,0.2,2211715377675706370.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,4,0.3,0.8,0.2,0.2,6363096185690847200.0,20,0.22248881348253913,0.00000012695099861,0.00000008369276484
consensus,1,0.9,0.4,0.5,0.3,6363096185690847200.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,1,0.9,0.4,0.5,0.3,2211715377675706370.0,15,0.08333333333333336,0.1358024691358025,0.08691358024691359
consensus,3,0.9,0.4,0.5,0.3,6363096185690847200.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,3,0.9,0.4,0.5,0.3,2211715377675706370.0,15,0.22222222221486074,0.00000000000000345,0.00000000000000325
consensus,2,0.7,0.4,0.5,0.3,6363096185690847200.0,15,0.34488015038819997,0.00000000007281823,0.0000000000533292
consensus,2,0.7,0.4,0.5,0.3,2211715377675706370.0,15,0.34488015038819997,0.00000000007281823,0.0000000000533292
consensus,2,0.9,0.2,0.5,0.3,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.2,0.5,0.3,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.6,0.5,0.3,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.6,0.5,0.3,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.2,0.3,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.2,0.3,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.8,0.3,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.8,0.3,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.5,0.2,6363096185690847200.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,2,0.9,0.4,0.5,0.2,2211715377675706370.0,15,0.34592592592833943,0.00000000000000156,0.00000000000000104
consensus,6,0.5,0.8,0.0,0.3,6363096185690847200.0,15,0.3123650431422918,0.000000268774519,0.00000016441577499
consensus,6,0.5,0.8,0.0,0.3,2211715377675706370.0,15,0.3123650431422918,0.000000268774519,0.00000016441577499
consensus,8,0.5,0.8,0.0,0.3,2211715377675706370.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,8,0.5,0.8,0.0,0.3,6363096185690847200.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,7,0.3,0.8,0.0,0.3,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.3,0.8,0.0,0.3,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.7,0.8,0.0,0.3,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.7,0.8,0.0,0.3,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.6,0.0,0.3,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.6,0.0,0.3,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.8,0.2,0.3,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.8,0.2,0.3,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.8,0.0,0.2,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,7,0.5,0.8,0.0,0.2,6363096185690847200.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
consensus,8,0.1,0.8,0.5,0.3,6363096185690847200.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,8,0.1,0.8,0.5,0.3,2211715377675706370.0,15,0.05555555555555555,0.12731481481481485,0.13654320987654323
consensus,7,0.3,0.8,0.5,0.3,2211715377675706370.0,15,0.02777777777777777,0.18287037037037038,0.14246913580246912
